team_1,score_1,team_2,score_2
mexico,3,ecuador,1
honduras,2,ecuador,2
spain,1,italy,0
portugal,0,greece,0
united_states,2,mexico,2
italy,2,nigeria,2
brazil,2,chile,1
netherlands,0,colombia,0
greece,0,nigeria,0
switzerland,2,croatia,2
belgium,2,ivory_coast,2
ecuador,0,argentina,0
greece,0,south_korea,2
uruguay,3,argentina,2
netherlands,1,ghana,0
mexico,0,bosnia_and_herzegovina,1
france,2,netherlands,0
england,0,chile,2
costa_rica,1,japan,3
england,0,germany,1
united_states,2,south_korea,0
argentina,2,bosnia_and_herzegovina,0
nigeria,0,ghana,0
netherlands,2,japan,2
costa_rica,0,south_korea,1
bosnia_and_herzegovina,2,ivory_coast,1
portugal,5,cameroon,1
mexico,4,south_korea,0
mexico,0,nigeria,0
germany,1,chile,0
russia,2,south_korea,1
ecuador,2,england,2
chile,4,costa_rica,0
south_korea,2,switzerland,1
belgium,2,japan,3
honduras,0,brazil,5
italy,1,germany,1
netherlands,1,ecuador,1
belgium,0,colombia,2
germany,2,cameroon,2
