group,team_1,score_1,team_2,score_2
A,qatar,0,ecuador,2
A,senegal,0,netherlands,2
A,qatar,1,senegal,3
A,netherlands,1,ecuador,1
A,ecuador,1,senegal,2
A,netherlands,2,qatar,0
B,england,6,iran,2
B,united_states,1,wales,1
B,wales,0,iran,2
B,england,0,united_states,0
B,wales,0,england,3
B,iran,0,united_states,1
C,argentina,1,saudi_arabia,2
C,mexico,0,poland,0
C,poland,2,saudi_arabia,0
C,argentina,2,mexico,0
C,poland,0,argentina,2
C,saudi_arabia,1,mexico,2
D,denmark,0,tunisia,0
D,france,4,australia,1
D,tunisia,0,australia,1
D,france,2,denmark,1
D,australia,1,denmark,0
D,tunisia,1,france,0
E,germany,1,japan,2
E,spain,7,costa_rica,0
E,japan,0,costa_rica,1
E,spain,1,germany,1
E,japan,2,spain,1
E,costa_rica,2,germany,4
F,morocco,0,croatia,0
F,belgium,1,canada,0
F,belgium,0,morocco,2
F,croatia,4,canada,1
F,croatia,0,belgium,0
F,canada,1,morocco,2
G,switzerland,1,cameroon,0
G,brazil,2,serbia,0
G,cameroon,3,serbia,3
G,brazil,1,switzerland,0
G,serbia,2,switzerland,3
G,cameroon,1,brazil,0
H,uruguay,0,south_korea,0
H,portugal,3,ghana,2
H,south_korea,2,ghana,3
H,portugal,2,uruguay,0
H,ghana,0,uruguay,2
H,south_korea,2,portugal,1
