params,feats,avg_loss,avg_acc
"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 2, ""max_features"": 0.5}","['att_diff', 'mid_diff', 'def_diff']",0.9430720004145154,0.578125
"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}","['att_diff', 'mid_diff', 'def_diff']",0.9430720004145154,0.578125
"{""n_estimators"": 200, ""max_depth"": 4, ""min_samples_leaf"": 2, ""max_features"": 0.5}","['att_diff', 'mid_diff', 'def_diff']",0.9431461851199817,0.58125
"{""n_estimators"": 200, ""max_depth"": 4, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}","['att_diff', 'mid_diff', 'def_diff']",0.9431461851199817,0.58125
"{""n_estimators"": 100, ""max_depth"": 4, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}","['att_diff', 'mid_diff', 'def_diff']",0.943458583110776,0.58125
"{""n_estimators"": 100, ""max_depth"": 4, ""min_samples_leaf"": 2, ""max_features"": 0.5}","['att_diff', 'mid_diff', 'def_diff']",0.943458583110776,0.58125
"{""n_estimators"": 200, ""max_depth"": 4, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}","['att_diff', 'mid_diff', 'def_diff']",0.9447846767800424,0.578125
"{""n_estimators"": 200, ""max_depth"": 4, ""min_samples_leaf"": 1, ""max_features"": 0.5}","['att_diff', 'mid_diff', 'def_diff']",0.9447846767800424,0.578125
"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1, ""max_features"": 0.5}","['att_diff', 'mid_diff', 'def_diff']",0.9448129984676965,0.578125
"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}","['att_diff', 'mid_diff', 'def_diff']",0.9448129984676965,0.578125
"{""n_estimators"": 200, ""max_depth"": 4, ""min_samples_leaf"": 2, ""max_features"": 0.5}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.945922504122664,0.58125
"{""n_estimators"": 200, ""max_depth"": 4, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.945922504122664,0.58125
"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 2, ""max_features"": 0.5}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9460590309230476,0.5875
"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9460590309230476,0.5875
"{""n_estimators"": 100, ""max_depth"": 4, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9465999184099079,0.571875
"{""n_estimators"": 100, ""max_depth"": 4, ""min_samples_leaf"": 2, ""max_features"": 0.5}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9465999184099079,0.571875
"{""n_estimators"": 100, ""max_depth"": 4, ""min_samples_leaf"": 2, ""max_features"": 0.5}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9466900680277714,0.584375
"{""n_estimators"": 100, ""max_depth"": 4, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9466900680277714,0.584375
"{""n_estimators"": 200, ""max_depth"": 4, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9468329051574136,0.575
"{""n_estimators"": 200, ""max_depth"": 4, ""min_samples_leaf"": 2, ""max_features"": 0.5}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9468329051574136,0.575
"{""n_estimators"": 100, ""max_depth"": 4, ""min_samples_leaf"": 4, ""max_features"": ""sqrt""}","['att_diff', 'mid_diff', 'def_diff']",0.9468508519422653,0.584375
"{""n_estimators"": 100, ""max_depth"": 4, ""min_samples_leaf"": 4, ""max_features"": 0.5}","['att_diff', 'mid_diff', 'def_diff']",0.9468508519422653,0.584375
