model_id,model_name,mc_iters,tournament_loss,champion_in_first_four_count,hit_champion_count,2006_pod,2010_pod,2014_pod,2018_pod,2022_pod,real_champion_probs,params,feats,avg_loss
xgb,XGBoost,10000,1.9613045928503836,3,2,"{'france': 0.1765, 'england': 0.1502, 'brazil': 0.1189, 'netherlands': 0.1031}","{'spain': 0.3382, 'france': 0.1118, 'england': 0.1051, 'argentina': 0.0819}","{'spain': 0.2043, 'germany': 0.1944, 'argentina': 0.1291, 'brazil': 0.1179}","{'brazil': 0.2512, 'germany': 0.1674, 'spain': 0.1463, 'portugal': 0.0915}","{'argentina': 0.1993, 'brazil': 0.1836, 'france': 0.1343, 'spain': 0.1169}","{2006: 0.046, 2010: 0.3382, 2014: 0.1944, 2018: 0.0914, 2022: 0.1993}","{""n_estimators"": 50, ""max_depth"": 2, ""learning_rate"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""min_child_weight"": 5}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9538464766661529
rf,Random Forest,10000,2.0007973622341644,3,2,"{'brazil': 0.1731, 'france': 0.1384, 'england': 0.1315, 'argentina': 0.0951}","{'spain': 0.2764, 'brazil': 0.1199, 'france': 0.1151, 'england': 0.1105}","{'germany': 0.1734, 'spain': 0.1663, 'brazil': 0.1549, 'argentina': 0.127}","{'brazil': 0.2552, 'germany': 0.139, 'spain': 0.125, 'portugal': 0.1046}","{'brazil': 0.2033, 'argentina': 0.1731, 'france': 0.1316, 'spain': 0.1069}","{2006: 0.0578, 2010: 0.2764, 2014: 0.1734, 2018: 0.0943, 2022: 0.1731}","{""n_estimators"": 100, ""max_depth"": 4, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.946599918409908
cat,CatBoost,10000,2.0151409513552996,3,1,"{'brazil': 0.2439, 'france': 0.1655, 'england': 0.1476, 'argentina': 0.0842}","{'spain': 0.3167, 'brazil': 0.1273, 'england': 0.0996, 'france': 0.0897}","{'spain': 0.1977, 'germany': 0.157, 'brazil': 0.1567, 'argentina': 0.1227}","{'brazil': 0.2388, 'spain': 0.1383, 'germany': 0.1382, 'portugal': 0.1175}","{'brazil': 0.2126, 'argentina': 0.1546, 'france': 0.1223, 'spain': 0.1053}","{2006: 0.0519, 2010: 0.3167, 2014: 0.157, 2018: 0.1055, 2022: 0.1546}","{""iterations"": 75, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 4}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff']",0.9400139093380616
lgbm,LightGBM,10000,2.0320983940563324,3,2,"{'france': 0.1496, 'brazil': 0.1409, 'england': 0.1376, 'argentina': 0.0948}","{'spain': 0.2569, 'france': 0.1213, 'brazil': 0.1099, 'england': 0.1097}","{'spain': 0.1588, 'brazil': 0.1485, 'germany': 0.1464, 'argentina': 0.1222}","{'brazil': 0.2416, 'germany': 0.1744, 'spain': 0.1272, 'portugal': 0.0945}","{'argentina': 0.2031, 'brazil': 0.1643, 'spain': 0.1077, 'france': 0.0997}","{2006: 0.059, 2010: 0.2569, 2014: 0.1464, 2018: 0.0858, 2022: 0.2031}","{""n_estimators"": 200, ""learning_rate"": 0.01, ""num_leaves"": 7, ""max_depth"": 2, ""min_child_samples"": 20}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9619851810762414
cat,CatBoost,10000,2.0824259189853813,2,1,"{'brazil': 0.2429, 'france': 0.1693, 'england': 0.1547, 'argentina': 0.1101}","{'spain': 0.2886, 'france': 0.1732, 'italy': 0.1171, 'england': 0.0972}","{'spain': 0.191, 'germany': 0.167, 'brazil': 0.1227, 'argentina': 0.11}","{'brazil': 0.2188, 'germany': 0.1376, 'spain': 0.1326, 'portugal': 0.1268}","{'france': 0.1442, 'spain': 0.1344, 'brazil': 0.1327, 'portugal': 0.1152}","{2006: 0.0635, 2010: 0.2886, 2014: 0.167, 2018: 0.1076, 2022: 0.0913}","{""iterations"": 100, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 7}","['att_diff', 'mid_diff', 'def_diff']",0.9417219859981412
lgbm,LightGBM,10000,2.083471538615383,4,2,"{'brazil': 0.2125, 'france': 0.2068, 'england': 0.1734, 'argentina': 0.1221}","{'spain': 0.29, 'france': 0.1535, 'england': 0.1124, 'brazil': 0.0946}","{'germany': 0.169, 'spain': 0.1684, 'argentina': 0.1246, 'brazil': 0.1081}","{'brazil': 0.192, 'portugal': 0.1664, 'germany': 0.1093, 'france': 0.1088}","{'france': 0.1944, 'argentina': 0.142, 'england': 0.1312, 'spain': 0.1033}","{2006: 0.0395, 2010: 0.29, 2014: 0.169, 2018: 0.1088, 2022: 0.142}","{""n_estimators"": 50, ""learning_rate"": 0.1, ""num_leaves"": 7, ""max_depth"": 2, ""min_child_samples"": 20}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.94994650918821
xgb,XGBoost,10000,2.0964186151656263,3,2,"{'brazil': 0.1868, 'france': 0.1721, 'england': 0.153, 'argentina': 0.1487}","{'spain': 0.2352, 'france': 0.1577, 'england': 0.1078, 'italy': 0.1045}","{'germany': 0.1706, 'spain': 0.1473, 'brazil': 0.1252, 'argentina': 0.1232}","{'brazil': 0.1817, 'germany': 0.1304, 'spain': 0.1141, 'argentina': 0.1123}","{'france': 0.1837, 'argentina': 0.1209, 'brazil': 0.1206, 'england': 0.1125}","{2006: 0.0566, 2010: 0.2352, 2014: 0.1706, 2018: 0.1021, 2022: 0.1209}","{""n_estimators"": 100, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""min_child_weight"": 5}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9463376689085452
xgb,XGBoost,10000,2.0987600867771645,3,2,"{'brazil': 0.1981, 'france': 0.1763, 'england': 0.137, 'argentina': 0.1155}","{'spain': 0.304, 'france': 0.164, 'italy': 0.0985, 'england': 0.0888}","{'germany': 0.1677, 'spain': 0.1613, 'argentina': 0.1218, 'brazil': 0.1056}","{'brazil': 0.2084, 'portugal': 0.1404, 'germany': 0.1363, 'spain': 0.1034}","{'france': 0.182, 'brazil': 0.1251, 'spain': 0.1099, 'argentina': 0.1083}","{2006: 0.051, 2010: 0.304, 2014: 0.1677, 2018: 0.0984, 2022: 0.1083}","{""n_estimators"": 50, ""max_depth"": 2, ""learning_rate"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""min_child_weight"": 5}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff', 'fifa_rank_diff']",0.9540358987737798
cat,CatBoost,10000,2.1369581030546834,2,1,"{'brazil': 0.2482, 'france': 0.2046, 'england': 0.1447, 'argentina': 0.12}","{'spain': 0.324, 'france': 0.1321, 'italy': 0.1093, 'argentina': 0.1015}","{'spain': 0.1863, 'germany': 0.1643, 'argentina': 0.1317, 'brazil': 0.1103}","{'brazil': 0.227, 'germany': 0.1378, 'portugal': 0.1278, 'spain': 0.1175}","{'france': 0.1741, 'brazil': 0.1449, 'germany': 0.1207, 'england': 0.117}","{2006: 0.0458, 2010: 0.324, 2014: 0.1643, 2018: 0.1034, 2022: 0.0908}","{""iterations"": 75, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 7}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9377354217650982
rf,Random Forest,10000,2.161577248907656,3,2,"{'brazil': 0.1861, 'france': 0.1573, 'england': 0.1379, 'argentina': 0.129}","{'spain': 0.2551, 'france': 0.1534, 'italy': 0.1197, 'england': 0.0995}","{'germany': 0.1486, 'spain': 0.1466, 'brazil': 0.1298, 'argentina': 0.1255}","{'brazil': 0.2187, 'portugal': 0.1241, 'germany': 0.1207, 'argentina': 0.1039}","{'france': 0.1679, 'brazil': 0.1451, 'england': 0.1157, 'argentina': 0.1069}","{2006: 0.0505, 2010: 0.2551, 2014: 0.1486, 2018: 0.0989, 2022: 0.1069}","{""n_estimators"": 200, ""max_depth"": 4, ""min_samples_leaf"": 2, ""max_features"": 0.5}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.945922504122664
rf,Random Forest,10000,2.1700841305911993,2,1,"{'brazil': 0.2148, 'france': 0.1599, 'england': 0.1341, 'argentina': 0.1188}","{'spain': 0.29, 'france': 0.1466, 'italy': 0.1236, 'brazil': 0.1055}","{'spain': 0.1607, 'germany': 0.1438, 'brazil': 0.1312, 'argentina': 0.1228}","{'brazil': 0.2083, 'portugal': 0.1312, 'spain': 0.1283, 'germany': 0.127}","{'france': 0.1576, 'brazil': 0.1552, 'england': 0.1148, 'germany': 0.1048}","{2006: 0.0483, 2010: 0.29, 2014: 0.1438, 2018: 0.1049, 2022: 0.0918}","{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 2, ""max_features"": 0.5}","['att_diff', 'mid_diff', 'def_diff']",0.9430720004145154
lr,Logistic Regression,10000,2.1809204508607793,3,1,"{'brazil': 0.2096, 'france': 0.1903, 'england': 0.1519, 'argentina': 0.1047}","{'spain': 0.2237, 'france': 0.1424, 'england': 0.1134, 'brazil': 0.1097}","{'spain': 0.1499, 'germany': 0.1482, 'brazil': 0.1429, 'argentina': 0.1089}","{'brazil': 0.1982, 'germany': 0.1394, 'spain': 0.1108, 'portugal': 0.1057}","{'france': 0.1429, 'england': 0.1194, 'argentina': 0.1085, 'brazil': 0.1077}","{2006: 0.0572, 2010: 0.2237, 2014: 0.1482, 2018: 0.0893, 2022: 0.1085}","{""C"": 0.001}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9443824941329656
lr,Logistic Regression,10000,2.1870018322067235,3,1,"{'brazil': 0.217, 'france': 0.1905, 'england': 0.1459, 'argentina': 0.1017}","{'spain': 0.2182, 'france': 0.1517, 'brazil': 0.1118, 'england': 0.111}","{'spain': 0.1592, 'germany': 0.1432, 'brazil': 0.1386, 'argentina': 0.1077}","{'brazil': 0.1772, 'germany': 0.1279, 'portugal': 0.1191, 'spain': 0.1132}","{'france': 0.1397, 'england': 0.1305, 'argentina': 0.1034, 'brazil': 0.1027}","{2006: 0.0615, 2010: 0.2182, 2014: 0.1432, 2018: 0.0897, 2022: 0.1034}","{""C"": 0.001}","['att_diff', 'mid_diff', 'def_diff']",0.943850498658194
lgbm,LightGBM,10000,2.2198727286204525,3,1,"{'brazil': 0.2144, 'france': 0.1436, 'england': 0.1188, 'argentina': 0.1069}","{'spain': 0.2413, 'france': 0.1497, 'italy': 0.116, 'brazil': 0.1005}","{'spain': 0.1556, 'brazil': 0.1383, 'germany': 0.1336, 'argentina': 0.1056}","{'brazil': 0.2067, 'portugal': 0.1445, 'germany': 0.1239, 'spain': 0.1059}","{'france': 0.1506, 'brazil': 0.13, 'england': 0.1274, 'argentina': 0.1067}","{2006: 0.0437, 2010: 0.2413, 2014: 0.1336, 2018: 0.1006, 2022: 0.1067}","{""n_estimators"": 200, ""learning_rate"": 0.01, ""num_leaves"": 15, ""max_depth"": 2, ""min_child_samples"": 20}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff', 'fifa_rank_diff']",0.9585261121595356
lr,Logistic Regression,10000,2.2653186946576973,3,1,"{'brazil': 0.2036, 'france': 0.1579, 'england': 0.1227, 'argentina': 0.0926}","{'spain': 0.2084, 'brazil': 0.1339, 'france': 0.1302, 'england': 0.1067}","{'spain': 0.1591, 'brazil': 0.1421, 'germany': 0.1385, 'argentina': 0.1108}","{'brazil': 0.1614, 'portugal': 0.1418, 'germany': 0.1323, 'belgium': 0.1066}","{'france': 0.1451, 'england': 0.1174, 'brazil': 0.1142, 'argentina': 0.1124}","{2006: 0.0454, 2010: 0.2084, 2014: 0.1385, 2018: 0.0818, 2022: 0.1124}","{""C"": 0.001}","['att_diff', 'mid_diff', 'def_diff', 'fifa_rank_diff']",0.9547463548677492
