team,prob
spain,0.24882
france,0.19592
england,0.14271
portugal,0.12088
argentina,0.10009
brazil,0.04918
germany,0.02491
netherlands,0.02214
belgium,0.01805
colombia,0.00892
turkey,0.00764
norway,0.00733
sweden,0.00633
croatia,0.00574
uruguay,0.00466
morocco,0.00434
senegal,0.00399
mexico,0.00395
switzerland,0.0039
ecuador,0.00349
japan,0.00303
paraguay,0.00207
austria,0.00171
south_korea,0.00145
czech_republic,0.00143
ivory_coast,0.00123
canada,0.00116
scotland,0.00113
united_states,0.00103
algeria,0.00099
bosnia_and_herzegovina,0.00032
iran,0.00032
dr_congo,0.0003
egypt,0.00028
ghana,0.00028
saudi_arabia,0.00014
australia,4e-05
tunisia,3e-05
uzbekistan,2e-05
qatar,2e-05
panama,1e-05
new_zealand,1e-05
haiti,1e-05
