team,prob
spain,0.36639
france,0.30964
england,0.25686
portugal,0.22799
argentina,0.20812
brazil,0.10961
netherlands,0.06533
germany,0.06493
belgium,0.05826
colombia,0.03511
norway,0.03071
turkey,0.03068
croatia,0.02516
uruguay,0.02124
sweden,0.02053
morocco,0.01906
switzerland,0.01886
senegal,0.01847
mexico,0.01546
japan,0.01369
ecuador,0.01245
austria,0.00902
paraguay,0.00818
czech_republic,0.00712
ivory_coast,0.00663
canada,0.00652
south_korea,0.00649
united_states,0.00573
scotland,0.00515
algeria,0.0043
egypt,0.00239
dr_congo,0.00229
iran,0.00205
ghana,0.00178
bosnia_and_herzegovina,0.00143
saudi_arabia,0.00071
australia,0.00035
panama,0.0003
tunisia,0.00022
uzbekistan,0.00014
new_zealand,0.00012
cape_verde,0.00012
south_africa,0.0001
jordan,9e-05
qatar,7e-05
haiti,7e-05
curacao,6e-05
iraq,2e-05
