team,prob
france,0.98713
argentina,0.98329
spain,0.9821
england,0.97298
brazil,0.96622
portugal,0.9661
germany,0.95389
belgium,0.95137
switzerland,0.91981
mexico,0.91715
turkey,0.9169
netherlands,0.90674
canada,0.89577
uruguay,0.89193
colombia,0.8866
czech_republic,0.88447
croatia,0.86696
japan,0.85188
south_korea,0.84798
norway,0.83925
morocco,0.82392
ecuador,0.81982
sweden,0.78872
ivory_coast,0.7858
egypt,0.78365
austria,0.78034
senegal,0.76735
bosnia_and_herzegovina,0.76171
paraguay,0.75408
scotland,0.70877
united_states,0.69415
iran,0.66056
algeria,0.58125
dr_congo,0.55675
ghana,0.49648
saudi_arabia,0.43831
australia,0.31591
new_zealand,0.2578
panama,0.25384
cape_verde,0.23286
tunisia,0.2207
uzbekistan,0.2056
jordan,0.19625
curacao,0.1727
haiti,0.16991
qatar,0.15859
south_africa,0.13995
iraq,0.08571
