team,prob
spain,0.50798
france,0.4943
england,0.41065
portugal,0.37368
argentina,0.37048
brazil,0.21766
netherlands,0.16788
germany,0.15195
belgium,0.15109
colombia,0.09644
norway,0.09632
turkey,0.09016
croatia,0.08004
uruguay,0.07031
morocco,0.06925
senegal,0.06546
switzerland,0.06205
sweden,0.05943
mexico,0.05644
japan,0.0505
ecuador,0.0424
czech_republic,0.03252
paraguay,0.0317
austria,0.03108
south_korea,0.03001
ivory_coast,0.02839
canada,0.028
united_states,0.02469
scotland,0.02439
algeria,0.0185
egypt,0.01344
dr_congo,0.01206
iran,0.00951
ghana,0.00861
bosnia_and_herzegovina,0.00715
saudi_arabia,0.00356
australia,0.00259
panama,0.00174
new_zealand,0.00145
tunisia,0.00125
uzbekistan,0.00114
cape_verde,0.00091
jordan,0.00079
south_africa,0.0006
curacao,0.00052
haiti,0.00049
qatar,0.00033
iraq,0.00011
