team,prob
france,0.635978
spain,0.619284
england,0.568924
argentina,0.566947
portugal,0.563238
belgium,0.430157
brazil,0.398188
netherlands,0.384402
turkey,0.294386
germany,0.273344
norway,0.239049
morocco,0.217949
colombia,0.213237
switzerland,0.211405
senegal,0.182841
mexico,0.177235
croatia,0.177039
uruguay,0.174075
sweden,0.153499
japan,0.149959
south_korea,0.124376
czech_republic,0.121902
ecuador,0.119992
canada,0.117584
paraguay,0.115751
united_states,0.092247
austria,0.092247
ivory_coast,0.091282
scotland,0.090874
egypt,0.069048
algeria,0.063931
iran,0.046674
bosnia_and_herzegovina,0.043495
dr_congo,0.04262
ghana,0.03902
saudi_arabia,0.020602
australia,0.015916
new_zealand,0.009647
panama,0.009533
tunisia,0.008117
uzbekistan,0.006713
cape_verde,0.006061
south_africa,0.004505
jordan,0.004449
curacao,0.004071
haiti,0.003421
qatar,0.003101
iraq,0.001685
